
Conversion of EDT data from sounding archive file D:\SoundingArchive\PWPM_20180309_213222.dc3db

Information about sounding:
==================================

Station:                  41041 PWPM
Launch time:              2018-03-09 21:32:22 UTC
RS type:                  RS92-SGP
RS number:                M5013207
Reason for termination:   Increasing pressure
Sounding SW version:      MW31 3.66

==================================


Information about map: EDT                 
==================================


   Record name:    Unit:           Data type:          Divisor: Offset:
   ---------------------------------------------------------------------
    time            sec             float (4)          1        0       
    Pscl            ln              short (2)          1        0       
    T               K               short (2)          10       0       
    RH              %               short (2)          1        0       
    v               m/s             short (2)          -100     0       
    u               m/s             short (2)          -100     0       
    Height          m               short (2)          1        30000   
    P               hPa             short (2)          10       0       
    TD              K               short (2)          10       0       
    MR              g/kg            short (2)          100      0       
    DD              dgr             short (2)          1        0       
    FF              m/s             short (2)          10       0       
    AZ              dgr             short (2)          1        0       
    Range           m               short (2)          0.01     0       
    Lon             dgr             short (2)          100      0       
    Lat             dgr             short (2)          100      0       
    SpuKey          bitfield        unsigned short (2) 1        0       
    UsrKey          bitfield        unsigned short (2) 1        0       
    RadarH          m               short (2)          1        30000   

*************************************************************************************************

     time	     Pscl	        T	       RH	        v	        u	   Height	        P	       TD	       MR	       DD	       FF	       AZ	    Range	      Lon	      Lat	   SpuKey	   UsrKey	   RadarH	
     0.00	    28278	   278.70	       80	     0.00	     0.00	       15	   996.00	   275.50	     4.51	        0	     0.00	      180	        0	   -58.38	   -62.08	    49159	    49159	       15	
     2.00	    28276	   278.30	       70	     0.86	    -1.06	       19	   995.50	   273.20	     3.82	      129	     1.40	      324	    19500	   -58.60	   -61.94	     3072	     3072	   -32768	
     4.00	    28273	   277.70	       70	     0.90	    -0.98	       25	   994.70	   272.60	     3.68	      132	     1.30	      324	    20500	   -58.61	   -61.94	     1024	     1024	   -32768	
     6.00	    28267	   276.60	       69	     0.68	    -0.97	       37	   993.30	   271.50	     3.37	      125	     1.20	      324	    19900	   -58.60	   -61.94	     1024	     1024	   -32768	
     8.00	    28261	   275.70	       70	     0.58	    -0.94	       48	   992.00	   270.70	     3.20	      122	     1.10	      324	    19900	   -58.60	   -61.94	    32768	    32768	   -32768	
    10.00	    28257	   275.60	       72	     0.49	    -0.93	       57	   990.90	   271.00	     3.29	      118	     1.10	      324	    19900	   -58.60	   -61.94	        0	        0	   -32768	
    12.00	    28251	   275.50	       73	     0.41	    -0.92	       67	   989.60	   271.20	     3.32	      114	     1.00	      324	    19900	   -58.60	   -61.94	        0	        0	   -32768	
    14.00	    28245	   275.40	       74	     0.36	    -0.91	       79	   988.10	   271.30	     3.35	      111	     1.00	      324	    19900	   -58.60	   -61.94	        0	        0	   -32768	
    16.00	    28241	   275.30	       75	     0.32	    -0.90	       88	   987.00	   271.40	     3.38	      110	     1.00	      324	    19900	   -58.60	   -61.94	        0	        0	   -32768	
    18.00	    28236	   275.20	       76	     0.30	    -0.90	       97	   985.90	   271.40	     3.40	      108	     1.00	      324	    19900	   -58.60	   -61.94	        0	        0	   -32768	
    20.00	    28231	   275.10	       77	     0.30	    -0.91	      108	   984.60	   271.40	     3.40	      108	     1.00	      324	    19900	   -58.60	   -61.94	        0	        0	   -32768	
