Started at:      12 JUN 12 18:10 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1018.0   21.0  70   15.3  163   0.6

   0  2     4.0       8   1017.0   21.0  70   15.4  163   0.6

   0  4     4.0      16   1016.1   21.1  70   15.5  163   0.6

   0  6     4.0      24   1015.1   21.1  69   15.3  161   2.4

   0  8     4.0      32   1014.2   21.2  69   15.3  161   2.4

   0 10     4.0      40   1013.2   21.2  69   15.3  161   2.4

   0 12     3.9      48   1012.3   21.1  69   15.3  161   2.4

   0 14     3.9      55   1011.5   21.0  70   15.4  161   2.4

   0 16     3.9      63   1010.6   21.0  70   15.4  162   3.0

   0 18     3.9      70   1009.7   20.9  71   15.5  162   3.0

   0 20     3.9      78   1008.8   20.8  71   15.4  162   3.0

   0 22     3.9      86   1007.9   20.7  71   15.3  162   3.0

   0 24     3.9      93   1007.0   20.6  71   15.2  162   3.0

   0 26     3.9     101   1006.1   20.6  72   15.4  165   3.4

   0 28     3.9     108   1005.2   20.5  72   15.3  165   3.4

   0 30     3.9     116   1004.4   20.4  72   15.2  165   3.4

   0 32     3.7     123   1003.6   20.3  72   15.1  165   3.4

   0 34     3.7     130   1002.8   20.3  72   15.1  165   3.4

   0 36     3.7     136   1002.0   20.2  73   15.3  165   3.6

   0 38     3.7     143   1001.2   20.2  73   15.3  165   3.6

   0 40     3.7     150   1000.4   20.1  73   15.1  165   3.6

   0 42     3.5     156    999.7   20.0  73   15.1  165   3.6

   0 44     3.5     163    999.0   20.0  73   15.1  165   3.6

   0 46     3.5     169    998.3   19.9  74   15.2  161   3.6

   0 48     3.5     176    997.5   19.9  74   15.2  161   3.6

   0 50     3.5     182    996.8   19.8  74   15.0  161   3.6

   0 52     3.2     188    996.1   19.7  74   15.0  161   3.6

   0 54     3.2     194    995.4   19.7  75   15.2  161   3.6

   0 56     3.2     199    994.7   19.6  75   15.1  161   3.4

   0 58     3.2     205    994.1   19.6  76   15.3  161   3.4

   1  0     3.2     211    993.4   19.5  76   15.2  161   3.4

   1  2     2.9     216    992.8   19.5  76   15.2  161   3.4

   1  4     2.9     221    992.2   19.4  76   15.1  161   3.4

   1  6     2.9     227    991.6   19.4  76   15.1  163   3.3

   1  8     2.9     232    991.1   19.3  76   15.0  163   3.3

   1 10     2.9     237    990.5   19.3  76   15.0  163   3.3

   1 12     2.7     242    989.9   19.3  76   15.0  163   3.3

   1 14     2.7     247    989.3   19.2  76   14.9  163   3.3

   1 16     2.7     252    988.7   19.2  76   14.9  163   3.2

   1 18     2.7     257    988.2   19.1  76   14.8  163   3.2

   1 20     2.7     262    987.6   19.1  76   14.8  163   3.2

   1 22     2.4     266    987.1   19.1  76   14.8  163   3.2

   1 24     2.4     270    986.6   19.0  76   14.7  163   3.2

   1 26     2.4     275    986.1   19.0  75   14.5  162   3.1

   1 28     2.4     279    985.7   18.9  75   14.4  162   3.1

   1 30     2.4     283    985.2   18.9  75   14.4  162   3.1

