Started at:      13 JUN 12  0:20 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1019.1   20.6  80   17.0   32   3.0

   0  2     4.4       9   1018.1   20.5  80   17.0   32   3.0

   0  4     4.4      18   1017.1   20.5  79   16.8   32   3.0

   0  6     4.4      26   1016.1   20.4  79   16.7   25   1.9

   0  8     4.4      35   1015.0   20.4  78   16.5   25   1.9

   0 10     4.4      44   1014.0   20.3  78   16.4   25   1.9

   0 12     4.3      53   1013.0   20.2  78   16.3   25   1.9

   0 14     4.3      61   1012.0   20.1  78   16.2   25   1.9

   0 16     4.3      70   1011.0   20.1  79   16.4   24   1.6

   0 18     4.3      78   1010.0   20.0  79   16.3   24   1.6

   0 20     4.3      87   1009.0   19.9  79   16.2   24   1.6

   0 22     4.2      95   1008.1   19.8  79   16.1   24   1.6

   0 24     4.2     103   1007.2   19.7  79   16.0   24   1.6

   0 26     4.2     111   1006.2   19.7  80   16.2   26   1.6

   0 28     4.2     119   1005.3   19.6  80   16.1   26   1.6

   0 30     4.2     127   1004.4   19.5  80   16.0   26   1.6

   0 32     4.0     135   1003.5   19.4  80   15.9   26   1.6

   0 34     4.0     142   1002.6   19.4  80   15.9   26   1.6

   0 36     4.0     150   1001.7   19.3  81   16.0   30   1.7

   0 38     4.0     157   1000.8   19.3  81   16.0   30   1.7

   0 40     4.0     165   1000.0   19.2  81   15.9   30   1.7

   0 42     3.8     172    999.1   19.2  81   15.9   30   1.7

   0 44     3.8     180    998.2   19.1  81   15.8   30   1.7

   0 46     3.8     187    997.3   19.1  82   16.0   36   1.9

   0 48     3.8     195    996.5   19.0  82   15.9   36   1.9

   0 50     3.8     202    995.6   19.0  82   15.9   36   1.9

   0 52     3.6     209    994.8   18.9  82   15.8   36   1.9

   0 54     3.6     216    994.0   18.9  82   15.8   36   1.9

   0 56     3.6     222    993.2   18.8  83   15.9   42   2.3

   0 58     3.6     229    992.5   18.8  83   15.9   42   2.3

   1  0     3.6     236    991.7   18.7  83   15.8   42   2.3

   1  2     3.3     242    991.0   18.7  83   15.8   42   2.3

   1  4     3.3     248    990.3   18.6  83   15.7   42   2.3

   1  6     3.3     253    989.7   18.6  84   15.9   44   2.7

   1  8     3.3     259    989.0   18.5  84   15.8   44   2.7

   1 10     3.3     265    988.3   18.5  84   15.8   44   2.7

   1 12     3.0     270    987.7   18.5  84   15.8   44   2.7

   1 14     3.0     275    987.2   18.4  84   15.7   44   2.7

   1 16     3.0     281    986.6   18.4  85   15.9   44   3.0

   1 18     3.0     286    986.0   18.3  85   15.8   44   3.0

   1 20     3.0     291    985.4   18.3  85   15.7   44   3.0

   1 22     2.5     295    984.9   18.3  85   15.8   44   3.0

   1 24     2.5     299    984.5   18.3  85   15.8   44   3.0

   1 26     2.5     304    984.0   18.2  85   15.7   45   3.2

   1 28     2.5     308    983.5   18.2  85   15.7   45   3.2

   1 30     2.5     312    983.0   18.2  85   15.6   45   3.2

