

Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 25.68 S  47.54 W      0 m



RS-number:  G2413256





Ground check  :    Ref     RS   Corr



  Pressure    : 1019.7 1018.4    1.3

  Temperature :   22.8   22.9   -0.1

  Humidity    :      0      5     -5

                     0      5     -5



Started at:      13 JUN 12  6:44 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1019.7   20.4  86   18.0  100   4.5

   0  2     2.1       4   1019.2   20.4  86   18.0  100   4.5

   0  4     2.1       8   1018.7   20.4  85   17.8  100   4.5

   0  6     2.1      13   1018.2   20.3  85   17.7   90   3.2

   0  8     2.1      17   1017.7   20.3  84   17.6   90   3.2

   0 10     2.1      21   1017.2   20.3  84   17.5   90   3.2

   0 12     2.2      26   1016.6   20.3  84   17.6   90   3.2

   0 14     2.2      30   1016.1   20.2  84   17.5   90   3.2

   0 16     2.2      35   1015.6   20.2  84   17.5   84   2.9

   0 18     2.2      39   1015.0   20.1  84   17.4   84   2.9

   0 20     2.2      44   1014.5   20.1  84   17.3   84   2.9

   0 22     2.3      49   1013.9   20.1  84   17.4   84   2.9

   0 24     2.3      54   1013.4   20.0  84   17.3   84   2.9

   0 26     2.3      58   1012.8   20.0  83   17.1   78   2.9

   0 28     2.3      63   1012.3   19.9  83   17.0   78   2.9

   0 30     2.3      68   1011.7   19.9  83   16.9   78   2.9

   0 32     2.3      72   1011.3   19.9  83   17.0   78   2.9

   0 34     2.3      76   1010.8   19.9  83   17.0   78   2.9

   0 36     2.3      81   1010.3   19.8  82   16.7   73   3.1

   0 38     2.3      85   1009.8   19.8  82   16.7   73   3.1

   0 40     2.3      89   1009.3   19.8  82   16.6   73   3.1

   0 42     2.2      93   1008.8   19.8  82   16.7   73   3.1

   0 44     2.2      97   1008.3   19.7  82   16.6   73   3.1

   0 46     2.2     102   1007.8   19.7  81   16.4   69   3.3

   0 48     2.2     106   1007.3   19.6  81   16.3   69   3.3

   0 50     2.2     110   1006.8   19.6  81   16.3   69   3.3

   0 52     2.0     114   1006.4   19.6  81   16.3   69   3.3

   0 54     2.0     118   1005.9   19.6  81   16.3   69   3.3

   0 56     2.0     121   1005.5   19.5  81   16.2   65   3.5

   0 58     2.0     125   1005.1   19.5  81   16.2   65   3.5

   1  0     2.0     129   1004.6   19.5  81   16.2   65   3.5

   1  2     1.9     132   1004.2   19.5  81   16.2   65   3.5

   1  4     1.9     136   1003.8   19.5  80   16.0   65   3.5

   1  6     1.9     139   1003.4   19.5  80   16.0   62   3.6

   1  8     1.9     143   1003.0   19.5  79   15.8   62   3.6

   1 10     1.9     146   1002.6   19.5  79   15.8   62   3.6

   1 12     1.7     149   1002.3   19.5  79   15.8   62   3.6

   1 14     1.7     152   1001.9   19.5  79   15.8   62   3.6

   1 16     1.7     156   1001.5   19.5  78   15.6   60   3.8

   1 18     1.7     159   1001.1   19.5  78   15.6   60   3.8

   1 20     1.7     162   1000.7   19.5  78   15.6   60   3.8

