ÿStart Up Date 13 JUN 12 17:10 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 27.00 S  48.24 W      0 m



RS-number:  G2414824





Ground check  :    Ref     RS   Corr



  Pressure    : 1018.0 1016.4    1.6

  Temperature :   24.9   25.1   -0.2

  Humidity    :      0      6     -6

                     0      6     -6



Started at:      13 JUN 12 17:26 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1018.4   19.9  86   17.5   11   5.3

   0  2     3.0       6   1017.7   19.9  85   17.4   11   5.3

   0  4     3.0      12   1017.0   19.8  84   17.1   11   5.3

   0  6     3.0      18   1016.4   19.8  83   16.9   21   6.4

   0  8     3.0      24   1015.7   19.7  82   16.6   21   6.4

   0 10     3.0      30   1015.0   19.7  81   16.4   21   6.4

   0 12     2.8      35   1014.3   19.6  81   16.3   21   6.4

   0 14     2.8      41   1013.7   19.6  82   16.5   21   6.4

   0 16     2.8      46   1013.0   19.5  82   16.4   24   7.1

   0 18     2.8      52   1012.4   19.5  83   16.6   24   7.1

   0 20     2.8      57   1011.7   19.4  83   16.4   24   7.1

   0 22     2.7      62   1011.2   19.4  83   16.5   24   7.1

   0 24     2.7      67   1010.6   19.3  83   16.4   24   7.1

   0 26     2.7      72   1010.0   19.3  84   16.6   25   7.7

   0 28     2.7      77   1009.4   19.2  84   16.5   25   7.7

   0 30     2.7      82   1008.8   19.2  84   16.4   25   7.7

   0 32     2.5      87   1008.2   19.2  83   16.3   25   7.7

   0 34     2.5      91   1007.7   19.3  82   16.2   25   7.7

   0 36     2.5      96   1007.2   19.3  82   16.2   24   8.2

   0 38     2.5     100   1006.6   19.4  81   16.1   24   8.2

   0 40     2.5     105   1006.1   19.4  80   15.9   24   8.2

   0 42     2.4     110   1005.5   19.4  79   15.7   24   8.2

   0 44     2.4     114   1005.0   19.4  78   15.5   24   8.2

   0 46     2.4     119   1004.5   19.5  78   15.6   22   8.6

   0 48     2.4     123   1003.9   19.5  77   15.4   22   8.6

   0 50     2.4     128   1003.4   19.5  76   15.2   22   8.6

   0 52     2.2     132   1002.9   19.5  75   15.0   22   8.6

   0 54     2.2     136   1002.5   19.5  74   14.8   22   8.6

   0 56     2.2     139   1002.1   19.5  74   14.8   20   8.9

   0 58     2.2     143   1001.6   19.5  73   14.6   20   8.9

   1  0     2.2     147   1001.2   19.5  72   14.3   20   8.9

   1  2     2.0     151   1000.7   19.5  72   14.4   20   8.9

   1  4     2.0     155   1000.3   19.5  72   14.4   20   8.9

   1  6     2.0     158    999.9   19.5  73   14.6   19   9.1

   1  8     2.0     162    999.4   19.5  73   14.6   19   9.1

   1 10     2.0     166    999.0   19.5  73   14.5   19   9.1

   1 12     1.8     169    998.6   19.5  73   14.6   19   9.1

   1 14     1.8     173    998.2   19.5  73   14.6   19   9.1

   1 16     1.8     176    997.8   19.4  73   14.5   18   9.0

   1 18     1.8     180    997.4   19.4  73   14.5   18   9.0

