ÿStart Up Date 14 JUN 12  8:04 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 27.01 S  46.86 W      0 m



RS-number:  G2354376





Ground check  :    Ref     RS   Corr



  Pressure    : 1019.5 1017.2    2.3

  Temperature :   22.3   22.5   -0.2

  Humidity    :      0      7     -7

                     0      7     -7



Started at:      14 JUN 12  8:22 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1019.5   21.7  80   18.1    5   5.3

   0  2     2.3       5   1018.9   21.7  78   17.8    5   5.3

   0  4     2.3       9   1018.3   21.6  77   17.5    5   5.3

   0  6     2.3      14   1017.8   21.6  75   17.0    9   4.9

   0  8     2.3      18   1017.2   21.5  74   16.7    9   4.9

   0 10     2.3      23   1016.7   21.5  72   16.3    9   4.9

   0 12     2.2      27   1016.2   21.5  72   16.3    9   4.9

   0 14     2.2      32   1015.7   21.4  72   16.2    9   4.9

   0 16     2.2      36   1015.2   21.4  73   16.4    8   5.2

   0 18     2.2      41   1014.7   21.3  73   16.3    8   5.2

   0 20     2.2      45   1014.2   21.3  73   16.3    8   5.2

   0 22     2.3      50   1013.7   21.3  73   16.3    8   5.2

   0 24     2.3      54   1013.1   21.2  73   16.2    8   5.2

   0 26     2.3      59   1012.6   21.2  74   16.4    5   5.8

   0 28     2.3      63   1012.0   21.1  74   16.3    5   5.8

   0 30     2.3      68   1011.5   21.1  74   16.3    5   5.8

   0 32     2.3      73   1011.0   21.1  74   16.3    5   5.8

   0 34     2.3      77   1010.4   21.0  74   16.2    5   5.8

   0 36     2.3      82   1009.9   21.0  74   16.2    4   6.2

   0 38     2.3      86   1009.3   20.9  74   16.1    4   6.2

   0 40     2.3      91   1008.8   20.9  74   16.1    4   6.2

   0 42     2.3      96   1008.2   20.8  74   16.1    4   6.2

   0 44     2.3     100   1007.7   20.8  74   16.1    4   6.2

   0 46     2.3     105   1007.2   20.7  75   16.2    6   6.4

   0 48     2.3     109   1006.6   20.7  75   16.2    6   6.4

   0 50     2.3     114   1006.1   20.6  75   16.0    6   6.4

   0 52     2.3     119   1005.5   20.6  75   16.1    6   6.4

   0 54     2.3     124   1005.0   20.5  75   16.0    6   6.4

   0 56     2.3     128   1004.5   20.5  75   16.0    7   6.6

   0 58     2.3     133   1003.9   20.4  75   15.9    7   6.6

   1  0     2.3     138   1003.4   20.4  75   15.8    7   6.6

   1  2     2.3     143   1002.8   20.4  75   15.9    7   6.6

   1  4     2.3     147   1002.3   20.4  75   15.9    7   6.6

   1  6     2.3     152   1001.8   20.3  74   15.6    8   6.9

   1  8     2.3     156   1001.2   20.3  74   15.6    8   6.9

   1 10     2.3     161   1000.7   20.3  74   15.5    8   6.9

   1 12     2.3     165   1000.2   20.3  74   15.6    8   6.9

   1 14     2.3     169    999.7   20.2  74   15.5    8   6.9

   1 16     2.3     174    999.2   20.2  74   15.5    9   7.1

   1 18     2.3     178    998.7   20.1  74   15.4    9   7.1

