



Start Up Date 14 JUN 12 11:37 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 27.03 S  46.62 W      0 m



RS-number:  G2414850





Ground check  :    Ref     RS   Corr



  Pressure    : 1019.0 1018.2    0.8

  Temperature :   25.3   25.6   -0.3

  Humidity    :      0      3     -3

                     0      3     -3



Started at:      14 JUN 12 11:52 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1019.7   23.2  68   17.0   16   4.8

   0  2     4.7       9   1018.6   23.0  69   17.1   16   4.8

   0  4     4.7      19   1017.5   22.7  69   16.8   16   4.8

   0  6     4.7      28   1016.4   22.5  70   16.8    8   4.7

   0  8     4.7      38   1015.3   22.2  70   16.5    8   4.7

   0 10     4.7      47   1014.2   22.0  71   16.5    8   4.7

   0 12     4.6      56   1013.2   21.9  71   16.5    8   4.7

   0 14     4.6      65   1012.1   21.8  72   16.6    8   4.7

   0 16     4.6      73   1011.1   21.8  72   16.6    4   4.5

   0 18     4.6      82   1010.1   21.7  73   16.7    4   4.5

   0 20     4.6      91   1009.0   21.6  73   16.6    4   4.5

   0 22     4.5     100   1008.0   21.5  73   16.5    4   4.5

   0 24     4.5     108   1007.1   21.4  73   16.4    4   4.5

   0 26     4.5     117   1006.1   21.4  74   16.6    3   4.3

   0 28     4.5     125   1005.1   21.3  74   16.5    3   4.3

   0 30     4.5     134   1004.1   21.2  74   16.4    3   4.3

   0 32     4.2     142   1003.2   21.1  74   16.3    3   4.3

   0 34     4.2     150   1002.3   21.0  74   16.2    3   4.3

   0 36     4.2     158   1001.3   21.0  75   16.5    2   4.2

   0 38     4.2     166   1000.4   20.9  75   16.4    2   4.2

   0 40     4.2     174    999.5   20.8  75   16.2    2   4.2

   0 42     4.0     182    998.6   20.7  75   16.2    2   4.2

   0 44     4.0     189    997.7   20.6  76   16.3    2   4.2

   0 46     4.0     197    996.8   20.6  76   16.3    1   4.1

   0 48     4.0     204    996.0   20.5  77   16.4    1   4.1

   0 50     4.0     212    995.1   20.4  77   16.2    1   4.1

   0 52     4.0     220    994.1   20.3  77   16.2    1   4.1

   0 54     4.0     229    993.1   20.2  77   16.1    1   4.1

   0 56     4.0     237    992.2   20.2  78   16.3  359   4.2

   0 58     4.0     246    991.2   20.1  78   16.2  359   4.2

   1  0     4.0     254    990.2   20.0  78   16.1  359   4.2

   1  2     4.2     263    989.2   19.9  78   16.0  359   4.2

   1  4     4.2     272    988.2   19.8  79   16.1  359   4.2

   1  6     4.2     281    987.2   19.7  79   16.0  357   4.4

   1  8     4.2     290    986.2   19.6  80   16.1  357   4.4

   1 10     4.2     299    985.2   19.5  80   16.0  357   4.4

   1 12     4.3     307    984.2   19.4  80   15.9  357   4.4

   1 14     4.3     316    983.3   19.3  80   15.8  357   4.4

   1 16     4.3     324    982.3   19.3  81   16.0  355   4.6

   1 18     4.3     333    981.3   19.2  81   15.9  355   4.6

