   



Start Up Date 14 JUN 12 15:44 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 27.02 S  46.32 W      0 m



RS-number:  G2413857





Ground check  :    Ref     RS   Corr



  Pressure    : 1018.5 1016.2    2.3

  Temperature :   26.6   26.8   -0.2

  Humidity    :      0      3     -3

                     0      3     -3



Started at:      14 JUN 12 15:58 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1018.5   22.6  72   17.3    2   7.5

   0  2     3.0       6   1017.7   22.5  72   17.3    2   7.5

   0  4     3.0      12   1017.0   22.4  71   16.9    2   7.5

   0  6     3.0      18   1016.4   22.3  71   16.8    9   4.5

   0  8     3.0      24   1015.7   22.2  70   16.5    9   4.5

   0 10     3.0      30   1015.0   22.1  70   16.4    9   4.5

   0 12     3.1      36   1014.2   22.0  70   16.3    9   4.5

   0 14     3.1      43   1013.5   22.0  71   16.6    9   4.5

   0 16     3.1      49   1012.7   21.9  71   16.5    4   3.6

   0 18     3.1      56   1012.0   21.9  72   16.7    4   3.6

   0 20     3.1      62   1011.3   21.8  72   16.5    4   3.6

   0 22     3.0      68   1010.6   21.7  72   16.5    4   3.6

   0 24     3.0      74   1009.9   21.7  72   16.5    4   3.6

   0 26     3.0      79   1009.2   21.6  73   16.6  356   3.2

   0 28     3.0      85   1008.5   21.6  73   16.6  356   3.2

   0 30     3.0      91   1007.8   21.5  73   16.5  356   3.2

   0 32     3.0      97   1007.2   21.5  73   16.5  356   3.2

   0 34     3.0     102   1006.5   21.4  73   16.4  356   3.2

   0 36     3.0     108   1005.9   21.4  74   16.6  359   2.8

   0 38     3.0     113   1005.2   21.3  74   16.5  359   2.8

   0 40     3.0     119   1004.6   21.3  74   16.5  359   2.8

   0 42     2.8     124   1004.0   21.2  74   16.4  359   2.8

   0 44     2.8     130   1003.3   21.2  74   16.4  359   2.8

   0 46     2.8     135   1002.7   21.1  75   16.6    7   2.6

   0 48     2.8     141   1002.1   21.1  75   16.6    7   2.6

   0 50     2.8     146   1001.4   21.0  75   16.4    7   2.6

   0 52     2.8     152   1000.8   20.9  75   16.4    7   2.6

   0 54     2.8     157   1000.2   20.9  75   16.4    7   2.6

   0 56     2.8     163    999.5   20.8  76   16.5   10   2.9

   0 58     2.8     168    998.9   20.8  76   16.5   10   2.9

   1  0     2.8     174    998.3   20.7  76   16.3   10   2.9

   1  2     2.7     179    997.7   20.7  76   16.4   10   2.9

   1  4     2.7     184    997.1   20.6  76   16.3   10   2.9

   1  6     2.7     189    996.5   20.6  77   16.5    7   3.3

   1  8     2.7     194    995.9   20.5  77   16.4    7   3.3

   1 10     2.7     199    995.3   20.5  77   16.3    7   3.3

   1 12     2.6     204    994.7   20.4  77   16.3    7   3.3

   1 14     2.6     209    994.2   20.4  77   16.3    7   3.3

   1 16     2.6     215    993.6   20.3  78   16.4    5   3.4

   1 18     2.6     220    993.0   20.3  78   16.4    5   3.4

