
Start Up Date 15 JUN 12 10:57 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 29.51 S  47.84 W      0 m



RS-number:  G2413841





Ground check  :    Ref     RS   Corr



  Pressure    : 1016.0 1015.3    0.7

  Temperature :   23.7   23.9   -0.2

  Humidity    :      0      3     -3

                     0      3     -3



Started at:      15 JUN 12 11:05 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1017.0   21.2  85   18.6   16   9.6

   0  2     4.4       9   1015.9   21.1  84   18.3   16   9.6

   0  4     4.4      18   1014.9   21.0  84   18.2   16   9.6

   0  6     4.4      26   1013.8   20.9  83   18.0    9  10.8

   0  8     4.4      35   1012.8   20.8  83   17.9    9  10.8

   0 10     4.4      44   1011.7   20.7  82   17.5    9  10.8

   0 12     4.2      52   1010.8   20.6  82   17.5    9  10.8

   0 14     4.2      60   1009.9   20.5  82   17.4    9  10.8

   0 16     4.2      69   1008.9   20.5  83   17.6    6  11.5

   0 18     4.2      77   1008.0   20.4  83   17.5    6  11.5

   0 20     4.2      85   1007.1   20.3  83   17.3    6  11.5

   0 22     4.2      93   1006.1   20.2  83   17.3    6  11.5

   0 24     4.2     101   1005.2   20.2  83   17.3    6  11.5

   0 26     4.2     109   1004.3   20.1  83   17.2    6  12.0

   0 28     4.2     117   1003.3   20.1  83   17.2    6  12.0

   0 30     4.2     125   1002.4   20.0  83   17.0    6  12.0

   0 32     3.8     132   1001.6   19.9  83   17.0    6  12.0

   0 34     3.8     139   1000.8   19.9  83   17.0    6  12.0

   0 36     3.8     145   1000.1   19.8  84   17.1    8  12.4

   0 38     3.8     152    999.3   19.8  84   17.1    8  12.4

   0 40     3.8     159    998.5   19.7  84   16.9    8  12.4

   0 42     3.5     165    997.8   19.6  84   16.9    8  12.4

   0 44     3.5     171    997.0   19.6  84   16.9    8  12.4

   0 46     3.5     178    996.3   19.5  85   17.0    9  12.6

   0 48     3.5     184    995.6   19.5  85   17.0    9  12.6

   0 50     3.5     190    994.8   19.4  85   16.8    9  12.6

   0 52     3.0     195    994.3   19.4  85   16.9    9  12.6

   0 54     3.0     200    993.7   19.3  85   16.8    9  12.6

   0 56     3.0     205    993.1   19.3  86   16.9   11  12.8

   0 58     3.0     210    992.5   19.2  86   16.8   11  12.8

   1  0     3.0     215    991.9   19.2  86   16.8   11  12.8

   1  2     2.7     220    991.4   19.2  86   16.8   11  12.8

   1  4     2.7     225    990.8   19.1  86   16.8   11  12.8

   1  6     2.7     231    990.2   19.1  86   16.8   11  12.8

   1  8     2.7     236    989.6   19.0  86   16.7   11  12.8

   1 10     2.7     241    989.0   19.0  86   16.6   11  12.8

   1 12     2.5     246    988.5   18.9  86   16.6   11  12.8

   1 14     2.5     250    988.0   18.9  86   16.6   11  12.8

   1 16     2.5     255    987.4   18.8  87   16.6   12  13.1

   1 18     2.5     259    986.9   18.8  87   16.6   12  13.1

   1 20     2.5     264    986.4   18.7  87   16.5   12  13.1
