

Start Up Date 15 JUN 12 12:33 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 29.50 S  47.92 W      0 m



RS-number:  G2413232





Ground check  :    Ref     RS   Corr



  Pressure    : 1016.1 1013.4    2.7

  Temperature :   24.3   24.5   -0.2

  Humidity    :      0      4     -4

                     0      4     -4



Started at:      15 JUN 12 12:51 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1015.0   21.1  84   18.3   95   9.0

   0  2     1.9       4   1014.5   21.0  83   18.1   95   9.0

   0  4     1.9       8   1014.1   20.9  82   17.8   95   9.0

   0  6     1.9      11   1013.6   20.9  82   17.8   37  11.1

   0  8     1.9      15   1013.2   20.8  81   17.5   37  11.1

   0 10     1.9      19   1012.7   20.7  80   17.1   37  11.1

   0 12     2.5      25   1012.0   20.6  80   17.1   37  11.1

   0 14     2.5      31   1011.4   20.6  81   17.3   37  11.1

   0 16     2.5      37   1010.7   20.5  81   17.2   16  12.0

   0 18     2.5      43   1010.0   20.5  82   17.4   16  12.0

   0 20     2.5      49   1009.3   20.4  82   17.2   16  12.0

   0 22     2.5      54   1008.6   20.3  82   17.2   16  12.0

   0 24     2.5      60   1008.0   20.3  82   17.2   16  12.0

   0 26     2.5      65   1007.4   20.2  83   17.3    5  12.9

   0 28     2.5      71   1006.7   20.2  83   17.3    5  12.9

   0 30     2.5      76   1006.1   20.1  83   17.1    5  12.9

   0 32     2.8      82   1005.4   20.1  83   17.2    5  12.9

   0 34     2.8      87   1004.8   20.0  83   17.1    5  12.9

   0 36     2.8      93   1004.2   20.0  83   17.1    2  13.5

   0 38     2.8      98   1003.5   19.9  83   17.0    2  13.5

   0 40     2.8     104   1002.9   19.9  83   16.9    2  13.5

   0 42     2.7     109   1002.3   19.9  83   17.0    2  13.5

   0 44     2.7     114   1001.7   19.8  83   16.9    2  13.5

   0 46     2.7     119   1001.1   19.8  83   16.9    2  14.1

   0 48     2.7     124   1000.5   19.7  83   16.8    2  14.1

   0 50     2.7     129   1000.0   19.7  83   16.7    2  14.1

   0 52     2.6     134    999.4   19.7  83   16.8    2  14.1

   0 54     2.6     139    998.8   19.6  83   16.7    2  14.1

   0 56     2.6     144    998.2   19.6  83   16.7    6  14.5

   0 58     2.6     149    997.6   19.5  83   16.6    6  14.5

   1  0     2.6     154    997.0   19.5  83   16.5    6  14.5

   1  2     2.5     159    996.5   19.5  83   16.6    6  14.5

   1  4     2.5     164    995.9   19.4  83   16.5    6  14.5

   1  6     2.5     169    995.3   19.4  83   16.5    7  14.6

   1  8     2.5     174    994.7   19.3  83   16.4    7  14.6

   1 10     2.5     179    994.1   19.3  83   16.4    7  14.6

   1 12     2.5     184    993.6   19.3  83   16.4    7  14.6

   1 14     2.5     189    993.1   19.2  83   16.3    7  14.6

   1 16     2.5     193    992.5   19.2  84   16.5    7  14.6

   1 18     2.5     198    992.0   19.1  84   16.4    7  14.6

