Start Up Date 16 JUN 12  5:54 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 29.51 S  47.84 W      0 m



RS-number:  G2413209





Ground check  :    Ref     RS   Corr



  Pressure    : 1012.0 1011.2    0.8

  Temperature :   22.3   22.6   -0.3

  Humidity    :      0      3     -3

                     0      3     -3



Started at:      16 JUN 12  6:40 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1012.0   20.0  82   16.8  321  12.6

   0  2     5.3      11   1010.8   19.9  82   16.8  321  12.6

   0  4     5.3      21   1009.5   19.7  82   16.6  321  12.6

   0  6     5.3      32   1008.3   19.6  83   16.7  353   9.1

   0  8     5.3      42   1007.1   19.4  83   16.5  353   9.1

   0 10     5.3      53   1005.8   19.3  83   16.4  353   9.1

   0 12     5.1      63   1004.7   19.2  83   16.3  353   9.1

   0 14     5.1      72   1003.6   19.1  84   16.4  353   9.1

   0 16     5.1      82   1002.5   19.0  84   16.3  356   7.8

   0 18     5.1      91   1001.3   18.9  85   16.4  356   7.8

   0 20     5.1     101   1000.2   18.8  85   16.2  356   7.8

   0 22     5.0     111    999.0   18.7  85   16.2  356   7.8

   0 24     5.0     121    997.9   18.6  86   16.3  356   7.8

   0 26     5.0     131    996.7   18.5  86   16.2  354   6.8

   0 28     5.0     141    995.5   18.4  87   16.2  354   6.8

   0 30     5.0     151    994.4   18.3  87   16.1  354   6.8

   0 32     5.0     162    993.1   18.2  87   16.0  354   6.8

   0 34     5.0     172    991.9   18.1  87   15.9  354   6.8

   0 36     5.0     183    990.7   18.1  88   16.1  344   5.9

   0 38     5.0     193    989.5   18.0  88   16.0  344   5.9

   0 40     5.0     204    988.3   17.9  88   15.9  344   5.9

   0 42     5.2     215    987.1   17.8  88   15.8  344   5.9

   0 44     5.2     226    985.8   17.8  88   15.8  344   5.9

   0 46     5.2     236    984.6   17.7  87   15.6  326   5.1

   0 48     5.2     247    983.3   17.7  87   15.6  326   5.1

   0 50     5.2     258    982.1   17.6  87   15.4  326   5.1

   0 52     5.4     269    980.8   17.6  86   15.3  326   5.1

   0 54     5.4     280    979.6   17.7  84   15.0  326   5.1

   0 56     5.4     291    978.3   17.7  83   14.8  295   4.8

   0 58     5.4     302    977.1   17.8  81   14.5  295   4.8

   1  0     5.4     313    975.8   17.8  80   14.3  295   4.8

   1  2     5.6     325    974.5   17.8  78   14.0  295   4.8

   1  4     5.6     336    973.2   17.8  76   13.6  295   4.8

   1  6     5.6     348    971.8   17.9  75   13.5  263   4.4

   1  8     5.6     359    970.5   17.9  73   13.0  263   4.4

   1 10     5.6     371    969.2   17.9  71   12.6  263   4.4

   1 12     5.7     383    967.9   18.1  69   12.4  263   4.4

   1 14     5.7     395    966.5   18.3  67   12.1  263   4.4

   1 16     5.7     406    965.2   18.5  65   11.9  233   4.3

   1 18     5.7     418    963.9   18.7  63   11.6  233   4.3

   1 20     5.7     430    962.6   18.9  61   11.2  233   4.3

