Start Up Date 16 JUN 12  8:21 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 29.48 S  47.93 W      0 m



RS-number:  G2414793





Ground check  :    Ref     RS   Corr



  Pressure    : 1013.8 1012.2    1.6

  Temperature :   23.6   23.8   -0.2

  Humidity    :      0      4     -4

                     0      4     -4



Started at:      16 JUN 12  8:40 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1013.8   19.7  84   16.9  322   6.4

   0  2     2.7       5   1013.1   19.7  83   16.8  322   6.4

   0  4     2.7      11   1012.4   19.6  81   16.3  322   6.4

   0  6     2.7      16   1011.8   19.6  80   16.1  314   3.7

   0  8     2.7      22   1011.2   19.5  78   15.6  314   3.7

   0 10     2.7      27   1010.5   19.5  77   15.4  314   3.7

   0 12     2.8      33   1009.8   19.4  78   15.5  314   3.7

   0 14     2.8      39   1009.1   19.3  79   15.6  314   3.7

   0 16     2.8      45   1008.4   19.3  80   15.8  310   2.9

   0 18     2.8      51   1007.8   19.2  81   15.9  310   2.9

   0 20     2.8      57   1007.1   19.1  82   16.0  310   2.9

   0 22     2.9      63   1006.4   19.0  83   16.1  310   2.9

   0 24     2.9      69   1005.7   19.0  84   16.3  310   2.9

   0 26     2.9      74   1005.0   18.9  84   16.2  306   2.9

   0 28     2.9      80   1004.3   18.9  85   16.4  306   2.9

   0 30     2.9      86   1003.6   18.8  86   16.4  306   2.9

   0 32     2.9      92   1003.0   18.8  86   16.5  306   2.9

   0 34     2.9      97   1002.4   18.7  87   16.5  306   2.9

   0 36     2.9     103   1001.7   18.7  87   16.5  303   3.0

   0 38     2.9     108   1001.1   18.6  88   16.6  303   3.0

   0 40     2.9     114   1000.4   18.6  88   16.6  303   3.0

   0 42     2.8     119    999.8   18.5  88   16.5  303   3.0

   0 44     2.8     125    999.2   18.5  88   16.5  303   3.0

   0 46     2.8     130    998.5   18.4  89   16.6  298   3.0

   0 48     2.8     136    997.9   18.4  89   16.6  298   3.0

   0 50     2.8     141    997.3   18.3  89   16.5  298   3.0

   0 52     2.8     147    996.6   18.2  89   16.4  298   3.0

   0 54     2.8     153    995.9   18.2  89   16.4  298   3.0

   0 56     2.8     158    995.2   18.1  90   16.5  288   2.6

   0 58     2.8     164    994.6   18.1  90   16.5  288   2.6

   1  0     2.8     170    993.9   18.0  90   16.3  288   2.6

   1  2     2.7     175    993.3   18.0  90   16.4  288   2.6

   1  4     2.7     180    992.7   17.9  91   16.5  288   2.6

   1  6     2.7     185    992.1   17.9  91   16.5  276   2.3

   1  8     2.7     190    991.5   17.8  92   16.5  276   2.3

   1 10     2.7     195    991.0   17.8  92   16.5  276   2.3

   1 12     2.7     200    990.4   17.8  92   16.5  276   2.3

   1 14     2.7     205    989.8   17.8  91   16.4  276   2.3

   1 16     2.7     211    989.2   17.7  91   16.3  262   2.1

   1 18     2.7     216    988.6   17.7  90   16.1  262   2.1

