Start Up Date 16 JUN 12 18:12 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 29.19 S  48.68 W      0 m



RS-number:  G2344375





Ground check  :    Ref     RS   Corr



  Pressure    : 1015.1 1014.4    0.7

  Temperature :   21.4   21.6   -0.2

  Humidity    :      0      5     -5

                     0      5     -5



Started at:      16 JUN 12 18:34 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1015.1   17.9  86   15.5  217   8.1

   0  2     5.0      10   1014.0   17.8  85   15.3  217   8.1

   0  4     5.0      20   1012.8   17.7  85   15.2  217   8.1

   0  6     5.0      30   1011.6   17.7  84   15.0  207   8.9

   0  8     5.0      40   1010.5   17.6  84   14.9  207   8.9

   0 10     5.0      50   1009.3   17.5  83   14.6  207   8.9

   0 12     4.8      59   1008.2   17.4  83   14.5  207   8.9

   0 14     4.8      68   1007.1   17.3  83   14.4  207   8.9

   0 16     4.8      78   1006.0   17.3  84   14.6  204   9.9

   0 18     4.8      87   1005.0   17.2  84   14.5  204   9.9

   0 20     4.8      96   1003.9   17.1  84   14.4  204   9.9

   0 22     4.7     105   1002.8   17.0  84   14.3  204   9.9

   0 24     4.7     114   1001.7   16.9  84   14.2  204   9.9

   0 26     4.7     124   1000.6   16.9  85   14.4  203  10.8

   0 28     4.7     133    999.6   16.8  85   14.3  203  10.8

   0 30     4.7     142    998.5   16.7  85   14.2  203  10.8

   0 32     4.5     151    997.5   16.6  85   14.1  203  10.8

   0 34     4.5     160    996.5   16.5  85   14.0  203  10.8

   0 36     4.5     168    995.4   16.4  86   14.1  203  11.6

   0 38     4.5     177    994.4   16.3  86   14.0  203  11.6

   0 40     4.5     186    993.4   16.2  86   13.9  203  11.6

   0 42     4.4     195    992.4   16.2  86   13.9  203  11.6

   0 44     4.4     203    991.4   16.2  86   13.9  203  11.6

   0 46     4.4     212    990.3   16.2  85   13.7  201  12.3

   0 48     4.4     220    989.3   16.2  85   13.7  201  12.3

   0 50     4.4     229    988.3   16.2  85   13.7  201  12.3

   0 52     4.2     237    987.4   16.2  84   13.5  201  12.3

   0 54     4.2     244    986.6   16.2  84   13.5  201  12.3

   0 56     4.2     252    985.7   16.2  83   13.4  200  12.7

   0 58     4.2     259    984.8   16.2  83   13.4  200  12.7

   1  0     4.2     267    984.0   16.2  82   13.1  200  12.7

   1  2     3.9     274    983.2   16.2  81   13.0  200  12.7

   1  4     3.9     281    982.3   16.2  80   12.8  200  12.7

   1  6     3.9     288    981.5   16.3  78   12.5  199  13.0

   1  8     3.9     295    980.7   16.3  77   12.3  199  13.0

   1 10     3.9     302    979.9   16.3  76   12.1  199  13.0

   1 12     3.6     309    979.1   16.3  76   12.1  199  13.0

   1 14     3.6     316    978.4   16.3  76   12.1  199  13.0

   1 16     3.6     322    977.6   16.2  75   11.8  199  13.3

   1 18     3.6     329    976.8   16.2  75   11.8  199  13.3

   1 20     3.6     336    976.1   16.2  75   11.8  199  13.3

