Start Up Date 16 JUN 12 21:52 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 29.07 S  49.06 W      0 m



RS-number:  G2414833





Ground check  :    Ref     RS   Corr



  Pressure    : 1018.0 1016.7    1.3

  Temperature :   21.7   22.0   -0.3

  Humidity    :      0      5     -5

                     0      5     -5



Start Up Date 16 JUN 12 22:19 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 29.06 S  49.05 W      0 m



RS-number:  E2021260





Ground check  :    Ref     RS   Corr



  Pressure    : 1018.0 1016.0    2.0

  Temperature :   22.2   22.6   -0.4

  Humidity    :      0      6     -6

                     0      6     -6



Started at:      16 JUN 12 22:41 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1018.0   16.6  91   15.1   23  10.5

   0  2     5.2      10   1016.7   16.5  91   15.1   23  10.5

   0  4     5.2      21   1015.5   16.4  90   14.8   23  10.5

   0  6     5.2      31   1014.2   16.3  90   14.7  271  10.2

   0  8     5.2      42   1013.0   16.2  89   14.4  271  10.2

   0 10     5.2      52   1011.7   16.1  89   14.3  271  10.2

   0 12     5.1      62   1010.6   16.0  89   14.2  271  10.2

   0 14     5.1      72   1009.4   15.9  89   14.1  271  10.2

   0 16     5.1      82   1008.2   15.9  90   14.3  227  10.0

   0 18     5.1      92   1007.0   15.8  90   14.2  227  10.0

   0 20     5.1     102   1005.8   15.7  90   14.1  227  10.0

   0 22     5.1     112   1004.6   15.6  90   14.0  227  10.0

   0 24     5.1     123   1003.4   15.6  90   14.0  227  10.0

   0 26     5.1     133   1002.2   15.5  90   13.9  204   9.8

   0 28     5.1     144   1000.9   15.5  90   13.9  204   9.8

   0 30     5.1     154    999.7   15.4  90   13.8  204   9.8

   0 32     5.1     164    998.5   15.4  90   13.8  204   9.8

   0 34     5.1     174    997.4   15.3  90   13.7  204   9.8

   0 36     5.1     184    996.2   15.3  90   13.7  195   9.7

   0 38     5.1     194    995.0   15.2  90   13.6  195   9.7

   0 40     5.1     204    993.9   15.2  90   13.6  195   9.7

   0 42     5.0     213    992.8   15.2  90   13.6  195   9.7

   0 44     5.0     223    991.6   15.1  90   13.5  195   9.7

   0 46     5.0     232    990.5   15.1  91   13.7  192   9.7

   0 48     5.0     242    989.4   15.0  91   13.6  192   9.7

   0 50     5.0     251    988.3   15.0  91   13.5  192   9.7

   0 52     5.0     261    987.1   15.0  91   13.6  192   9.7

   0 54     5.0     272    985.9   14.9  91   13.5  192   9.7

   0 56     5.0     282    984.7   14.9  92   13.7  193   9.4

   0 58     5.0     293    983.5   14.8  92   13.6  193   9.4

   1  0     5.0     303    982.3   14.8  92   13.5  193   9.4

   1  2     5.0     313    981.1   14.7  92   13.5  193   9.4

   1  4     5.0     324    979.9   14.7  92   13.5  193   9.4

   1  6     5.0     334    978.7   14.6  92   13.4  189   9.1

   1  8     5.0     345    977.5   14.6  92   13.4  189   9.1

