Start Up Date 18 JUN 12  0:46 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 31.48 S  49.84 W      0 m



RS-number:  E2030095





Ground check  :    Ref     RS   Corr



  Pressure    : 1009.7 1007.6    2.1

  Temperature :   25.5   25.9   -0.4

  Humidity    :      0      6     -6

                     0      5     -5



Started at:      18 JUN 12  1:17 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1009.7   16.9  91   15.4   45  14.0

   0  2     4.8      10   1008.6   17.1  89   15.3   45  14.0

   0  4     4.8      19   1007.5   17.4  87   15.3   45  14.0

   0  6     4.8      29   1006.4   17.6  85   15.1   49  12.5

   0  8     4.8      38   1005.2   17.9  83   15.0   49  12.5

   0 10     4.8      48   1004.1   18.1  81   14.8   49  12.5

   0 12     4.9      58   1002.9   18.0  81   14.7   49  12.5

   0 14     4.9      68   1001.8   17.9  81   14.6   49  12.5

   0 16     4.9      78   1000.6   17.8  82   14.7   49  14.1

   0 18     4.9      88    999.4   17.7  82   14.6   49  14.1

   0 20     4.9      98    998.3   17.6  82   14.5   49  14.1

   0 22     4.9     108    997.1   17.5  82   14.4   49  14.1

   0 24     4.9     117    996.0   17.4  83   14.5   49  14.1

   0 26     4.9     127    994.9   17.3  83   14.4   49  14.6

   0 28     4.9     136    993.8   17.2  84   14.5   49  14.6

   0 30     4.9     146    992.7   17.1  84   14.4   49  14.6

   0 32     4.9     156    991.5   17.0  84   14.3   49  14.6

   0 34     4.9     165    990.4   16.9  85   14.4   49  14.6

   0 36     4.9     175    989.3   16.9  85   14.4   48  14.5

   0 38     4.9     184    988.2   16.8  86   14.5   48  14.5

   0 40     4.9     194    987.1   16.7  86   14.4   48  14.5

   0 42     4.8     204    986.0   16.6  86   14.3   48  14.5

   0 44     4.8     213    984.9   16.5  87   14.4   48  14.5

   0 46     4.8     223    983.8   16.5  87   14.4   47  14.6

   0 48     4.8     232    982.7   16.4  88   14.5   47  14.6

   0 50     4.8     242    981.6   16.3  88   14.3   47  14.6

   0 52     4.9     252    980.4   16.2  88   14.3   47  14.6

   0 54     4.9     262    979.3   16.1  89   14.3   47  14.6

   0 56     4.9     272    978.1   16.0  89   14.2   46  15.0

   0 58     4.9     282    977.0   15.9  90   14.3   46  15.0

   1  0     4.9     292    975.8   15.8  90   14.2   46  15.0

   1  2     5.0     302    974.7   15.7  90   14.1   46  15.0

   1  4     5.0     313    973.5   15.6  90   14.0   46  15.0

   1  6     5.0     323    972.3   15.6  91   14.2   44  15.1

   1  8     5.0     334    971.1   15.5  91   14.1   44  15.1

   1 10     5.0     344    969.9   15.4  91   13.9   44  15.1

   1 12     5.0     354    968.8   15.3  91   13.9   44  15.1

   1 14     5.0     363    967.7   15.3  91   13.9   44  15.1

   1 16     5.0     373    966.6   15.2  92   14.0   42  15.2

   1 18     5.0     382    965.6   15.2  92   14.0   42  15.2

   1 20     5.0     392    964.5   15.1  92   13.8   42  15.2

