ÿStart Up Date 18 JUN 12  5:02 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 31.18 S  50.24 W      0 m



RS-number:  E2110331





Ground check  :    Ref     RS   Corr



  Pressure    : 1006.7 1004.8    1.9

  Temperature :   21.4   21.7   -0.3

  Humidity    :      0      3     -3

                     0      3     -3



Started at:      18 JUN 12  5:28 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1006.7   17.6  89   15.8  180   6.8

   0  2     5.4      11   1005.5   17.6  89   15.8  180   6.8

   0  4     5.4      22   1004.3   17.6  89   15.8  180   6.8

   0  6     5.4      32   1003.0   17.6  88   15.6   78   6.7

   0  8     5.4      43   1001.7   17.6  88   15.6   78   6.7

   0 10     5.4      54   1000.4   17.6  88   15.6   78   6.7

   0 12     5.4      65    999.2   17.6  88   15.6   78   6.7

   0 14     5.4      76    997.9   17.5  89   15.7   78   6.7

   0 16     5.4      87    996.6   17.5  89   15.7   40   7.7

   0 18     5.4      98    995.4   17.4  90   15.8   40   7.7

   0 20     5.4     109    994.1   17.4  90   15.7   40   7.7

   0 22     5.4     120    992.9   17.4  90   15.8   40   7.7

   0 24     5.4     131    991.6   17.3  90   15.7   40   7.7

   0 26     5.4     141    990.3   17.3  90   15.7   22   9.0

   0 28     5.4     152    989.1   17.2  90   15.6   22   9.0

   0 30     5.4     163    987.8   17.2  90   15.6   22   9.0

   0 32     5.2     173    986.7   17.2  90   15.6   22   9.0

   0 34     5.2     182    985.6   17.2  90   15.6   22   9.0

   0 36     5.2     192    984.5   17.2  90   15.6   16  10.2

   0 38     5.2     201    983.4   17.2  90   15.6   16  10.2

   0 40     5.2     211    982.3   17.2  90   15.6   16  10.2

   0 42     5.0     221    981.2   17.1  90   15.5   16  10.2

   0 44     5.0     230    980.1   17.0  90   15.4   16  10.2

   0 46     5.0     240    979.0   16.9  90   15.3   16  11.2

   0 48     5.0     249    977.9   16.8  90   15.2   16  11.2

   0 50     5.0     259    976.8   16.7  90   15.1   16  11.2

   0 52     4.9     269    975.7   16.6  90   15.0   16  11.2

   0 54     4.9     279    974.5   16.5  90   14.9   16  11.2

   0 56     4.9     289    973.4   16.5  91   15.1   20  11.8

   0 58     4.9     299    972.2   16.4  91   15.0   20  11.8

   1  0     4.9     309    971.1   16.3  91   14.8   20  11.8

   1  2     5.0     319    969.9   16.2  91   14.8   20  11.8

   1  4     5.0     330    968.7   16.1  91   14.7   20  11.8

   1  6     5.0     340    967.5   16.1  92   14.8   17  12.3

   1  8     5.0     351    966.4   16.0  92   14.7   17  12.3

   1 10     5.0     361    965.2   15.9  92   14.6   17  12.3

   1 12     5.1     371    964.0   15.8  92   14.5   17  12.3

   1 14     5.1     381    962.9   15.7  92   14.4   17  12.3

   1 16     5.1     391    961.8   15.7  92   14.4   14  12.6

   1 18     5.1     401    960.7   15.6  92   14.3   14  12.6

   1 20     5.1     411    959.5   15.5  92   14.2   14  12.6

