ÿStart Up Date 19 JUN 12 12:40 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 33.77 S  51.19 W      0 m



RS-number:  E2041384





Ground check  :    Ref     RS   Corr



  Pressure    : 1012.8 1011.1    1.7

  Temperature :   23.3   23.6   -0.3

  Humidity    :      0      4     -4

                     0      4     -4



Started at:      19 JUN 12 12:54 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1012.8   13.9  68    8.1  277   8.8

   0  2     5.8      12   1011.4   13.7  69    8.2  277   8.8

   0  4     5.8      23   1010.0   13.5  69    8.0  277   8.8

   0  6     5.8      35   1008.6   13.3  70    8.0  262   8.7

   0  8     5.8      46   1007.2   13.1  70    7.8  262   8.7

   0 10     5.8      58   1005.8   12.9  71    7.8  262   8.7

   0 12     5.3      68   1004.7   12.7  71    7.6  262   8.7

   0 14     5.3      78   1003.5   12.5  71    7.4  262   8.7

   0 16     5.3      87   1002.3   12.4  70    7.1  256   8.3

   0 18     5.3      97   1001.1   12.2  70    6.9  256   8.3

   0 20     5.3     107   1000.0   12.0  70    6.7  256   8.3

   0 22     5.1     116    998.8   11.9  70    6.7  256   8.3

   0 24     5.1     126    997.7   11.9  70    6.7  256   8.3

   0 26     5.1     135    996.6   11.8  70    6.6  253   8.3

   0 28     5.1     145    995.5   11.8  70    6.6  253   8.3

   0 30     5.1     154    994.4   11.7  70    6.4  253   8.3

   0 32     4.6     163    993.3   11.6  70    6.4  253   8.3

   0 34     4.6     171    992.3   11.5  70    6.3  253   8.3

   0 36     4.6     180    991.3   11.5  70    6.3  252   8.9

   0 38     4.6     188    990.3   11.4  70    6.2  252   8.9

   0 40     4.6     197    989.3   11.3  70    6.0  252   8.9

   0 42     4.3     205    988.3   11.2  70    6.0  252   8.9

   0 44     4.3     213    987.3   11.1  71    6.1  252   8.9

   0 46     4.3     221    986.4   11.1  71    6.1  253   8.6

   0 48     4.3     229    985.4   11.0  72    6.2  253   8.6

   0 50     4.3     237    984.5   10.9  72    6.1  253   8.6

   0 52     4.0     244    983.6   10.8  72    6.0  253   8.6

   0 54     4.0     252    982.7   10.8  73    6.2  253   8.6

   0 56     4.0     259    981.9   10.7  73    6.1  253   8.2

   0 58     4.0     267    981.0   10.7  74    6.3  253   8.2

   1  0     4.0     274    980.1   10.6  74    6.2  253   8.2

   1  2     3.8     281    979.3   10.5  74    6.1  253   8.2

   1  4     3.8     289    978.4   10.4  75    6.2  253   8.2

   1  6     3.8     296    977.6   10.4  75    6.2  253   8.3

   1  8     3.8     304    976.7   10.3  76    6.3  253   8.3

   1 10     3.8     311    975.8   10.2  76    6.2  253   8.3

   1 12     3.7     319    974.9   10.1  76    6.1  253   8.3

   1 14     3.7     326    974.0   10.0  77    6.2  253   8.3

   1 16     3.7     334    973.1   10.0  77    6.2  253   8.0

   1 18     3.7     341    972.2    9.9  78    6.3  253   8.0

   1 20     3.7     349    971.3    9.8  78    6.2  253   8.0

