Start Up Date 19 JUN 12 15:06 UTC       



System test passed  -No errors found    





Sounding program REV 8.36 using GPS    



Station  : 03888 PEZZI-2012

Location : 33.74 S  51.44 W      0 m



RS-number:  E2041822





Ground check  :    Ref     RS   Corr



  Pressure    : 1012.6 1010.8    1.8

  Temperature :   24.2   24.2   -0.0

  Humidity    :      0      4     -4

                     0      4     -4



Started at:      19 JUN 12 15:17 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1012.4   13.0  76    8.9  241   8.0

   0  2     4.7       9   1011.4   12.8  74    8.3  241   8.0

   0  4     4.7      19   1010.2   12.7  72    7.8  241   8.0

   0  6     4.7      28   1009.1   12.5  70    7.2  242   7.6

   0  8     4.7      38   1007.9   12.4  68    6.7  242   7.6

   0 10     4.7      47   1006.8   12.2  66    6.1  242   7.6

   0 12     4.7      56   1005.7   12.1  67    6.2  242   7.6

   0 14     4.7      66   1004.6   12.0  67    6.1  242   7.6

   0 16     4.7      75   1003.4   12.0  68    6.3  241   7.9

   0 18     4.7      85   1002.3   11.9  68    6.2  241   7.9

   0 20     4.7      94   1001.2   11.8  69    6.3  241   7.9

   0 22     4.7     103   1000.1   11.7  69    6.3  241   7.9

   0 24     4.7     113    998.9   11.6  69    6.2  241   7.9

   0 26     4.7     122    997.8   11.5  70    6.3  240   8.4

   0 28     4.7     132    996.7   11.4  70    6.2  240   8.4

   0 30     4.7     141    995.6   11.3  70    6.0  240   8.4

   0 32     4.6     150    994.5   11.2  70    6.0  240   8.4

   0 34     4.6     159    993.4   11.1  71    6.1  240   8.4

   0 36     4.6     168    992.4   11.0  71    6.0  238   8.6

   0 38     4.6     177    991.3   10.9  72    6.1  238   8.6

   0 40     4.6     186    990.2   10.8  72    6.0  238   8.6

   0 42     4.6     195    989.1   10.7  72    5.9  238   8.6

   0 44     4.6     205    988.0   10.6  73    6.0  238   8.6

   0 46     4.6     214    986.9   10.6  73    6.0  236   8.5

   0 48     4.6     224    985.8   10.5  74    6.1  236   8.5

   0 50     4.6     233    984.7   10.4  74    6.0  236   8.5

   0 52     4.8     244    983.4   10.3  74    5.9  236   8.5

   0 54     4.8     254    982.2   10.2  75    6.0  236   8.5

   0 56     4.8     265    981.0   10.1  75    5.9  233   8.5

   0 58     4.8     275    979.7   10.0  76    6.0  233   8.5

   1  0     4.8     286    978.5    9.9  76    5.9  233   8.5

   1  2     5.1     297    977.2    9.8  76    5.8  233   8.5

   1  4     5.1     308    975.9    9.7  76    5.7  233   8.5

   1  6     5.1     318    974.6    9.6  77    5.8  230   8.4

   1  8     5.1     329    973.3    9.5  77    5.7  230   8.4

   1 10     5.1     340    972.0    9.4  77    5.6  230   8.4

   1 12     5.5     352    970.7    9.3  77    5.5  230   8.4

   1 14     5.5     364    969.3    9.2  78    5.6  230   8.4

   1 16     5.5     375    967.9    9.0  78    5.4  227   8.7

   1 18     5.5     387    966.5    8.9  79    5.5  227   8.7

   1 20     5.5     399    965.2    8.8  79    5.4  227   8.7

