
Start Up Date 19 JUN 12 22:22 UTC



System test passed  -No errors found





Sounding program REV 8.36 using GPS



Station  : 03888 PEZZI-2012

Location : 33.63 S  52.16 W      0 m



RS-number:  E1941000





Ground check  :    Ref     RS   Corr



  Pressure    : 1015.5 1013.3    2.2

  Temperature :   20.7   21.0   -0.3

  Humidity    :      0      5     -5

                     0      5     -5



Started at:      19 JUN 12 22:42 UTC    

   Time AscRate Hgt/MSL Pressure   Temp  RH   Dewp  Dir Speed

 min  s     m/s       m      hPa   degC   %   degC  deg   m/s



   0  0     0.0       0   1015.5   11.2  78    7.5  331   6.8

   0  2     5.3      11   1014.2   11.1  78    7.5  331   6.8

   0  4     5.3      21   1012.9   10.9  77    7.1  331   6.8

   0  6     5.3      32   1011.6   10.8  77    7.0  311   6.7

   0  8     5.3      42   1010.3   10.6  76    6.6  311   6.7

   0 10     5.3      53   1009.0   10.5  76    6.5  311   6.7

   0 12     5.5      64   1007.7   10.4  76    6.4  311   6.7

   0 14     5.5      76   1006.3   10.3  77    6.5  311   6.7

   0 16     5.5      87   1004.9   10.2  77    6.4  304   6.8

   0 18     5.5      99   1003.5   10.1  78    6.5  304   6.8

   0 20     5.5     110   1002.2   10.0  78    6.4  304   6.8

   0 22     5.7     122   1000.7    9.9  79    6.5  304   6.8

   0 24     5.7     134    999.2    9.8  79    6.4  304   6.8

   0 26     5.7     147    997.8    9.6  80    6.4  299   6.8

   0 28     5.7     159    996.3    9.5  80    6.3  299   6.8

   0 30     5.7     171    994.8    9.4  81    6.3  299   6.8

   0 32     6.1     184    993.3    9.3  82    6.4  299   6.8

   0 34     6.1     197    991.7    9.1  82    6.2  299   6.8

   0 36     6.1     210    990.2    9.0  83    6.3  297   6.7

   0 38     6.1     223    988.6    8.8  83    6.1  297   6.7

   0 40     6.1     236    987.1    8.7  84    6.2  297   6.7

   0 42     6.3     248    985.6    8.6  84    6.1  297   6.7

   0 44     6.3     261    984.1    8.4  85    6.1  297   6.7

   0 46     6.3     273    982.6    8.3  85    6.0  297   6.5

   0 48     6.3     286    981.1    8.1  86    5.9  297   6.5

   0 50     6.3     298    979.7    8.0  86    5.8  297   6.5

   0 52     6.2     310    978.3    7.9  87    5.9  297   6.5

   0 54     6.2     322    976.9    7.7  87    5.7  297   6.5

   0 56     6.2     333    975.5    7.6  88    5.8  301   6.2

   0 58     6.2     345    974.1    7.4  88    5.6  301   6.2

   1  0     6.2     357    972.7    7.3  89    5.6  301   6.2

   1  2     5.9     368    971.4    7.2  89    5.6  301   6.2

   1  4     5.9     379    970.1    7.1  90    5.6  301   6.2

   1  6     5.9     391    968.8    7.1  90    5.6  299   5.8

   1  8     5.9     402    967.4    7.0  91    5.7  299   5.8

   1 10     5.9     413    966.1    6.9  91    5.5  299   5.8

   1 12     5.6     423    964.9    6.8  91    5.5  299   5.8

   1 14     5.6     434    963.7    6.8  91    5.5  299   5.8

   1 16     5.6     444    962.5    6.7  91    5.4  297   5.4

   1 18     5.6     455    961.2    6.7  91    5.4  297   5.4

   1 20     5.6     465    960.0    6.6  91    5.2  297   5.4

